Make,Model,Variant,Sub_variant,start_month,start_year,end_month,end_year
HYUNDAI,ACCENT/ VIVA,HYUNDAI ACCENT/ VIVA (1999-2013),4DR 1.5L CRDI (DIESEL) (30.04.2002-06.02.2007),4,2002,2,2007
HYUNDAI,ACCENT/ VIVA,HYUNDAI ACCENT/ VIVA (1999-2013),4DR 1.5L EXECUTIVE (PETROL) (06.02.2008-31.12.2012),2,2008,12,2012
HYUNDAI,ACCENT/ VIVA,HYUNDAI ACCENT/ VIVA (1999-2013),4DR 1.5L GL (PETROL) (10.01.1999-06.02.2008),1,1999,2,2008
HYUNDAI,ACCENT/ VIVA,HYUNDAI ACCENT/ VIVA (1999-2013),5DR 1.6L VIVA (PETROL) (10.01.2001-06.02.2008),1,2001,2,2008
HYUNDAI,ALCAZAR,HYUNDAI ALCAZAR (2021-NOW),5DR 1.5L 6S (DIESEL) (03.2021 -NOW),3,2021,NOW,NOW
HYUNDAI,ALCAZAR,HYUNDAI ALCAZAR (2021-NOW),5DR 1.5L 7S (DIESEL)(03.2021-NOW),3,2021,NOW,NOW
HYUNDAI,ALCAZAR,HYUNDAI ALCAZAR (2021-NOW),5DR 1.5L AT 6S (DIESEL) (03.2021 -NOW),3,2021,NOW,NOW
HYUNDAI,ALCAZAR,HYUNDAI ALCAZAR (2021-NOW),5DR 1.5L AT 7S (DIESEL)(03.2021-NOW),3,2021,NOW,NOW
HYUNDAI,ALCAZAR,HYUNDAI ALCAZAR (2021-NOW),5DR 2.0L 6S (PETROL) (03.2021 -NOW),3,2021,NOW,NOW
HYUNDAI,ALCAZAR,HYUNDAI ALCAZAR (2021-NOW),5DR 2.0L 7S (PETROL)(03.2021-NOW),3,2021,NOW,NOW
HYUNDAI,ALCAZAR,HYUNDAI ALCAZAR (2021-NOW),5DR 2.0L AT 6S (PETROL)(03.2021-NOW),3,2021,NOW,NOW
HYUNDAI,ALCAZAR,HYUNDAI ALCAZAR (2021-NOW),5DR 2.0L AT 7S (PETROL)(03.2021-NOW),3,2021,NOW,NOW
HYUNDAI,AURA,HYUNDAI AURA (2020-NOW),4DR 1.0L (PETROL) (01.2020-NOW),1,2020,NOW,NOW
HYUNDAI,AURA,HYUNDAI AURA (2020-NOW),4DR 1.2L (DIESEL) (01.2020-NOW),1,2020,NOW,NOW
HYUNDAI,AURA,HYUNDAI AURA (2020-NOW),4DR 1.2L (PETROL) (01.2020-NOW),1,2020,NOW,NOW
HYUNDAI,AURA,HYUNDAI AURA (2020-NOW),4DR 1.2L AT (DIESEL) (01.2020-NOW),1,2020,NOW,NOW
HYUNDAI,AURA,HYUNDAI AURA (2020-NOW),4DR 1.2L AT (PETROL) (01.2020-NOW),1,2020,NOW,NOW
HYUNDAI,CRETA,HYUNDAI CRETA 1ST GEN (2015-2018),5DR 1.4 BASE (DIESEL) (06.2015-05.2018),6,2015,5,2018
HYUNDAI,CRETA,HYUNDAI CRETA 1ST GEN (2015-2018),5DR 1.4 E PLUS (DIESEL) (06.2015-05.2018),6,2015,5,2018
HYUNDAI,CRETA,HYUNDAI CRETA 1ST GEN (2015-2018),5DR 1.4 S (DIESEL) (06.2015-05.2018),6,2015,5,2018
HYUNDAI,CRETA,HYUNDAI CRETA 1ST GEN (2015-2018),5DR 1.4 S+ (DIESEL) (06.2015-05.2018),6,2015,5,2018
HYUNDAI,CRETA,HYUNDAI CRETA 1ST GEN (2015-2018),5DR 1.4L(DIESEL) (06.2015-05.2018),6,2015,5,2018
HYUNDAI,CRETA,HYUNDAI CRETA 1ST GEN (2015-2018),5DR 1.6 BASE (PETROL) (06.2015-05.2018),6,2015,5,2018
HYUNDAI,CRETA,HYUNDAI CRETA 1ST GEN (2015-2018),5DR 1.6 E PLUS (PETROL) (06.2015-05.2018),6,2015,5,2018
HYUNDAI,CRETA,HYUNDAI CRETA 1ST GEN (2015-2018),5DR 1.6 S (PETROL) (06.2015-05.2018),6,2015,5,2018
HYUNDAI,CRETA,HYUNDAI CRETA 1ST GEN (2015-2018),5DR 1.6 SX (DIESEL) (06.2015-05.2018),6,2015,5,2018
HYUNDAI,CRETA,HYUNDAI CRETA 1ST GEN (2015-2018),5DR 1.6 SX(O) (DIESEL) (06.2015-05.2018),6,2015,5,2018
HYUNDAI,CRETA,HYUNDAI CRETA 1ST GEN (2015-2018),5DR 1.6 SX+ (DIESEL) (06.2015-05.2018),6,2015,5,2018
HYUNDAI,CRETA,HYUNDAI CRETA 1ST GEN (2015-2018),5DR 1.6 SX+ (PETROL) (06.2015-05.2018),6,2015,5,2018
HYUNDAI,CRETA,HYUNDAI CRETA 1ST GEN (2015-2018),5DR 1.6 SX+ AT (DIESEL) (06.2015-05.2018),6,2015,5,2018
HYUNDAI,CRETA,HYUNDAI CRETA 1ST GEN (2015-2018),5DR 1.6L (DIESEL)(06.2015-05.2018),6,2015,5,2018
HYUNDAI,CRETA,HYUNDAI CRETA 1ST GEN (2015-2018),5DR 1.6L (PETROL) (06.2015-05.2018),6,2015,5,2018
HYUNDAI,CRETA,HYUNDAI CRETA 1ST GEN F/L (2018-2020),5DR 1.6L SX (O) (DIESEL) (05.2018-03.2020),5,2018,3,2020
HYUNDAI,CRETA,HYUNDAI CRETA 1ST GEN F/L (2018-2020),5DR 1.4L E PLUS (DIESEL) (05.2018-03.2020),5,2018,3,2020
HYUNDAI,CRETA,HYUNDAI CRETA 1ST GEN F/L (2018-2020),5DR 1.4L S (DIESEL) (05.2018-03.2020),5,2018,3,2020
HYUNDAI,CRETA,HYUNDAI CRETA 1ST GEN F/L (2018-2020),5DR 1.6L E PLUS (PETROL) (05.2018-03.2020),5,2018,3,2020
HYUNDAI,CRETA,HYUNDAI CRETA 1ST GEN F/L (2018-2020),5DR 1.6L EX (PETROL) (05.2018-03.2020),5,2018,3,2020
HYUNDAI,CRETA,HYUNDAI CRETA 1ST GEN F/L (2018-2020),5DR 1.6L SX (AT) (DIESEL) (05.2018-03.2020),5,2018,3,2020
HYUNDAI,CRETA,HYUNDAI CRETA 1ST GEN F/L (2018-2020),5DR 1.6L SX (DIESEL) (05.2018-03.2020),5,2018,3,2020
HYUNDAI,CRETA,HYUNDAI CRETA 1ST GEN F/L (2018-2020),5DR 1.6L SX (O) (PETROL) (05.2018-03.2020),5,2018,3,2020
HYUNDAI,CRETA,HYUNDAI CRETA 1ST GEN F/L (2018-2020),5DR 1.6L SX (PETROL) (05.2018-03.2020),5,2018,3,2020
HYUNDAI,CRETA,HYUNDAI CRETA 1ST GEN F/L (2018-2020),5DR 1.6L SX AT (PETROL) (05.2018-03.2020),5,2018,3,2020
HYUNDAI,CRETA,HYUNDAI CRETA 2ND GEN (2020-NOW),5DR 1.4L DCT (PETROL) (03.2020 -NOW),3,2020,NOW,NOW
HYUNDAI,CRETA,HYUNDAI CRETA 2ND GEN (2020-NOW),5DR 1.5L (DIESEL) (03.2020-NOW),3,2020,NOW,NOW
HYUNDAI,CRETA,HYUNDAI CRETA 2ND GEN (2020-NOW),5DR 1.5L (PETROL) (03.2020 -NOW),3,2020,NOW,NOW
HYUNDAI,CRETA,HYUNDAI CRETA 2ND GEN (2020-NOW),5DR 1.5L AT (DIESEL) (03.2020 -NOW),3,2020,NOW,NOW
HYUNDAI,CRETA,HYUNDAI CRETA 2ND GEN (2020-NOW),5DR 1.5L CVT (PETROL) (03.2020 -NOW),3,2020,NOW,NOW
HYUNDAI,ELANTRA,HYUNDAI ELANTRA 3RD GEN (2004-2007),4DR 1.8L (PETROL) (01.04.2004-28.02.2007),4,2004,2,2007
HYUNDAI,ELANTRA,HYUNDAI ELANTRA 3RD GEN (2004-2007),4DR 2.0L (DIESEL) (01.04.2004-28.02.2007),4,2004,2,2007
HYUNDAI,ELANTRA,HYUNDAI ELANTRA 6TH GEN (2016-2019),4DR 1.6L (DIESEL) (08.2016-10.2019),8,2016,10,2019
HYUNDAI,ELANTRA,HYUNDAI ELANTRA 6TH GEN (2016-2019),4DR 1.6L SX (DIESEL) (08.2016-10.2019),8,2016,10,2019
HYUNDAI,ELANTRA,HYUNDAI ELANTRA 6TH GEN (2016-2019),4DR 1.6L SX (O) AT (DIESEL) (08.2016-10.2019),8,2016,10,2019
HYUNDAI,ELANTRA,HYUNDAI ELANTRA 6TH GEN (2016-2019),4DR 2.0L (PETROL) (08.2016-10.2019),8,2016,10,2019
HYUNDAI,ELANTRA,HYUNDAI ELANTRA 6TH GEN (2016-2019),4DR 2.0L S (PETROL) (08.2016-10.2019),8,2016,10,2019
HYUNDAI,ELANTRA,HYUNDAI ELANTRA 6TH GEN (2016-2019),4DR 2.0L SX (AT) (PETROL) (08.2016-10.2019),8,2016,10,2019
HYUNDAI,ELANTRA,HYUNDAI ELANTRA 6TH GEN (2016-2019),4DR 2.0L SX (PETROL) (08.2016-10.2019),8,2016,10,2019
HYUNDAI,ELANTRA,HYUNDAI ELANTRA 6TH GEN F/L (2019-NOW),4DR 2.0L SX AT (PETROL) (10.2019-NOW),10,2019,NOW,NOW
HYUNDAI,ELANTRA,HYUNDAI ELANTRA 6TH GEN F/L (2019-NOW),4DR 2.0L SX(O) AT (PETROL) (10.2019-NOW),10,2019,NOW,NOW
HYUNDAI,EON,HYUNDAI EON (2011-2019),5DR 0.8L (PETROL) (01.2011-09.2019),1,2011,9,2019
HYUNDAI,EON,HYUNDAI EON (2011-2019),5DR 1.0L (PETROL) (01.2011-09.2019),1,2011,9,2019
HYUNDAI,FLUIDIC ELANTRA,HYUNDAI FLUIDIC ELANTRA 5TH GEN (2012-2015),4DR 1.6L (DIESEL) (01.08.2012-12.2015),8,2012,12,2015
HYUNDAI,FLUIDIC ELANTRA,HYUNDAI FLUIDIC ELANTRA 5TH GEN (2012-2015),4DR 1.8L (PETROL) (01.08.2012-12.2015),8,2012,12,2015
HYUNDAI,GETZ,HYUNDAI GETZ 1ST GEN (2004-2007),5DR 1.1L (PETROL) (01.2004-02.2007),1,2004,2,2007
HYUNDAI,GETZ,HYUNDAI GETZ 1ST GEN (2004-2007),5DR 1.3L (PETROL) (01.2004-02.2007),1,2004,2,2007
HYUNDAI,GETZ PRIME,HYUNDAI GETZ PRIME 1ST GEN F/L(2007-2010),5DR 1.1L (PETROL) (02.02.2007-01.05.2010),2,2007,5,2010
HYUNDAI,GETZ PRIME,HYUNDAI GETZ PRIME 1ST GEN F/L(2007-2010),5DR 1.1L GLE (PETROL) (01.02.2007-02.03.2010),0,2007,0,2010
HYUNDAI,GETZ PRIME,HYUNDAI GETZ PRIME 1ST GEN F/L(2007-2010),5DR 1.1L GVS (PETROL) (01.02.2007-02.03.2010),0,2007,0,2010
HYUNDAI,GETZ PRIME,HYUNDAI GETZ PRIME 1ST GEN F/L(2007-2010),5DR 1.1L GVS OPTION (PETROL) (01.02.2007-02.03.2010),0,2007,0,2010
HYUNDAI,GETZ PRIME,HYUNDAI GETZ PRIME 1ST GEN F/L(2007-2010),5DR 1.3L (PETROL) (02.01.2007-24.03.2010),1,2007,3,2010
HYUNDAI,GETZ PRIME,HYUNDAI GETZ PRIME 1ST GEN F/L(2007-2010),5DR 1.3L (PETROL) (02.01.2007-24.03.2010),1,2007,3,2010
HYUNDAI,GETZ PRIME,HYUNDAI GETZ PRIME 1ST GEN F/L(2007-2010),5DR 1.3L GLS (PETROL) (01.02.2007-02.03.2010),0,2007,0,2010
HYUNDAI,GETZ PRIME,HYUNDAI GETZ PRIME 1ST GEN F/L(2007-2010),5DR 1.3L GVS (PETROL) (01.02.2007-02.03.2010),0,2007,0,2010
HYUNDAI,GETZ PRIME,HYUNDAI GETZ PRIME 1ST GEN F/L(2007-2010),5DR 1.5L (DIESEL) (01.02.2007-02.03.2010),2,2007,3,2010
HYUNDAI,GETZ PRIME,HYUNDAI GETZ PRIME 1ST GEN F/L(2007-2010),5DR 1.5L GVS (DIESEL) (01.02.2007-02.03.2010),2,2007,3,2010
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 (2013-2016),5DR 1.0L (LPG) (01.08.2013-30.11.2016),8,2013,11,2016
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 (2013-2016),5DR 1.1L (DIESEL) (01.08.2013-30.11.2016),8,2013,11,2016
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 (2013-2016),5DR 1.1L ASTA (DIESEL) (01.08.2013-30.11.2016),8,2013,11,2016
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 (2013-2016),5DR 1.1L MAGNA (DIESEL) (01.08.2013-30.11.2016),8,2013,11,2016
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 (2013-2016),5DR 1.1L SPORTZ (DIESEL) (01.08.2013-30.11.2016),8,2013,11,2016
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 (2013-2016),5DR 1.2L (PETROL) (01.08.2013-30.11.2016),8,2013,11,2016
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 (2013-2016),5DR 1.2L ASTA (AT)(PETROL) (01.08.2013-30.11.2016),8,2013,11,2016
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 (2013-2016),5DR 1.2L ASTA (PETROL) (01.08.2013-30.11.2016),8,2013,11,2016
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 (2013-2016),5DR 1.2L ERA (PETROL) (01.08.2013-30.11.2016),8,2013,11,2016
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 (2013-2016),5DR 1.2L MAGNA (PETROL) (01.08.2013-30.11.2016),8,2013,11,2016
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 (2013-2016),5DR 1.2L SPORTZ (O) (PETROL) (01.08.2013-30.11.2016),8,2013,11,2016
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 (2013-2016),5DR 1.2L SPORTZ (PETROL) (01.08.2013-30.11.2016),8,2013,11,2016
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 F/L (2016-2021),5DR 1.2L (DIESEL) (01.12.2016-13.11.2019),12,2016,11,2019
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 F/L (2016-2021),5DR 1.2L (PETROL) (01.12.2016-13.01.2021),12,2016,11,2019
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 F/L (2016-2021),5DR 1.2L ASTA (DIESEL) (01.12.2016-13.01.2021),12,2016,11,2019
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 F/L (2016-2021),5DR 1.2L ASTA (PETROL) (01.12.2016-13.01.2021),12,2016,11,2019
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 F/L (2016-2021),5DR 1.2L ERA (DIESEL)(01.12.2016-13.01.2021),12,2016,11,2019
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 F/L (2016-2021),5DR 1.2L ERA (PETROL) (01.12.2016-13.01.2021),12,2016,11,2019
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 F/L (2016-2021),5DR 1.2L MAGNA (DIESEL) (01.12.2016-13.01.2021),12,2016,11,2019
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 F/L (2016-2021),5DR 1.2L MAGNA (PETROL) (01.12.2016-13.01.2021),12,2016,11,2019
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 F/L (2016-2021),5DR 1.2L MAGNA AT (PETROL) (01.12.2016-13.01.2021),12,2016,1,2021
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 F/L (2016-2021),5DR 1.2L SPORTZ (DIESEL) (01.12.2016-12.01.2021),12,2016,1,2021
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 F/L (2016-2021),5DR 1.2L SPORTZ (O) (PETROL) (01.12.2016-13.01.2021),12,2016,1,2021
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 F/L (2016-2021),5DR 1.2L SPORTZ (O) AT PETROL (01.12.2016-13.01.2021),12,2016,1,2021
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 F/L (2016-2021),5DR 1.2L SPORTZ (PETROL) (01.12.2016-13.01.2021),12,2016,1,2021
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 F/L (2016-2021),5DR 1.2L SPORTZ(O) (DIESEL) (01.12.2016-13.01.2021),12,2016,1,2021
HYUNDAI,GRAND i10 NIOS,HYUNDAI GRAND i10 NIOS (08.2019-NOW),1.0L TURBO Gdi (PETROL) (08.2019-NOW),8,2019,NOW,NOW
HYUNDAI,GRAND i10 NIOS,HYUNDAI GRAND i10 NIOS (08.2019-NOW),1.2L ASTA (PETROL) (08.2019-NOW),8,2019,NOW,NOW
HYUNDAI,GRAND i10 NIOS,HYUNDAI GRAND i10 NIOS (08.2019-NOW),1.2L ASTA AMT (PETROL) (08.2019-NOW),8,2019,NOW,NOW
HYUNDAI,GRAND i10 NIOS,HYUNDAI GRAND i10 NIOS (08.2019-NOW),1.2L ERA (DIESEL) (08.2019-NOW),8,2019,NOW,NOW
HYUNDAI,GRAND i10 NIOS,HYUNDAI GRAND i10 NIOS (08.2019-NOW),1.2L MAGNA (PETROL) (08.2019-NOW),8,2019,NOW,NOW
HYUNDAI,GRAND i10 NIOS,HYUNDAI GRAND i10 NIOS (08.2019-NOW),1.2L MAGNA (DIESEL) (08.2019-NOW),8,2019,NOW,NOW
HYUNDAI,GRAND i10 NIOS,HYUNDAI GRAND i10 NIOS (08.2019-NOW),1.2L MAGNA AMT (PETROL) (08.2019-NOW),8,2019,NOW,NOW
HYUNDAI,GRAND i10 NIOS,HYUNDAI GRAND i10 NIOS (08.2019-NOW),1.2L MAGNA CNG (PETROL) (08.2019-NOW),8,2019,NOW,NOW
HYUNDAI,GRAND i10 NIOS,HYUNDAI GRAND i10 NIOS (08.2019-NOW),1.2L SPORTZ (PETROL) (08.2019-NOW),8,2019,NOW,NOW
HYUNDAI,GRAND i10 NIOS,HYUNDAI GRAND i10 NIOS (08.2019-NOW),1.2L SPORTZ (DIESEL) (08.2019-NOW),8,2019,NOW,NOW
HYUNDAI,GRAND i10 NIOS,HYUNDAI GRAND i10 NIOS (08.2019-NOW),1.2L SPORTZ AMT (PETROL) (08.2019-NOW),8,2019,NOW,NOW
HYUNDAI,GRAND i10 NIOS,HYUNDAI GRAND i10 NIOS (08.2019-NOW),1.2L SPORTZ AMT (DIESEL) (08.2019-NOW),8,2019,NOW,NOW
HYUNDAI,GRAND i10 NIOS,HYUNDAI GRAND i10 NIOS (08.2019-NOW),1.2L SPORTZ CNG (PETROL) (08.2019-NOW),8,2019,NOW,NOW
HYUNDAI,i10,HYUNDAI i10 1ST GEN (2007-2010),5DR 1.1L (PETROL) (27.09.2007-07.10.2010),9,2007,10,2010
HYUNDAI,i10,HYUNDAI i10 1ST GEN (2007-2010),5DR 1.2L PETROL) (01.05.2008-08.09.2010),5,2008,9,2010
HYUNDAI,i10,HYUNDAI i10 1ST GEN F/L (2010-2013),5DR 1.1L (PETROL) (17.08.2010-01.08.2013),8,2010,8,2013
HYUNDAI,i10,HYUNDAI i10 1ST GEN F/L (2010-2013),5DR 1.2 (PETROL) (17.08.2010-01.08.2013),8,2010,8,2013
HYUNDAI,i20,HYUNDAI i20 1ST GEN (2008-2012),5DR 1.2L (PETROL) (09.2008 - 03.2012),9,2008,3,2012
HYUNDAI,i20,HYUNDAI i20 1ST GEN (2008-2012),5DR 1.2L ASTA (O) SUNROOF (PETROL) (09.2008 - 03.2012),9,2008,3,2012
HYUNDAI,i20,HYUNDAI i20 1ST GEN (2008-2012),5DR 1.2L ASTA (PETROL) (09.2008 - 03.2012),9,2008,3,2012
HYUNDAI,i20,HYUNDAI i20 1ST GEN (2008-2012),5DR 1.2L MAGNA (PETROL) (09.2008 - 03.2012),9,2008,3,2012
HYUNDAI,i20,HYUNDAI i20 1ST GEN (2008-2012),5DR 1.2L SPORTZ (PETROL) (09.2008 - 03.2012),9,2008,3,2012
HYUNDAI,i20,HYUNDAI i20 1ST GEN (2008-2012),5DR 1.4L (DIESEL) (09.2008 - 03.2012),9,2008,3,2012
HYUNDAI,i20,HYUNDAI i20 1ST GEN (2008-2012),5DR 1.4L (DIESEL) (09.2008 - 03.2012),9,2008,3,2012
